sequence,label
11 4 819 18 5 291 3826 36 410 821 29 5 2 148 7 760 5459 3 141 22 4 328 19 11 1787 7 22 84 156 50 150 43 2 18 7 2 715 2 134 5 1744 8738 10 1 11 18 6 1313 1 9733,1
239 5 1567 8 33 2 2688 133 62 6 885 11 14 29 5 2 87 2319 3 1397 1625 5 20 195 120 106 425 5 39 4 330 394 20 1101 49 14 1 9487 520 3 49 14 16 32 143 1726 102 8 12 1099,0
47 96 41 313 140 22 27 5531 11 7 29 5 95 8 3 5 397 9 7 22 4 84 20 19 9 992 6 1931 2 7028 3 2 2327 5 2 20 5 2 166 407 7965 1 14 310 15 28 205 7 3 87,1
11 18 92 9 80 29 5 55 399 87 373 94 498 13 13 48 282 4 8254 843 116 48 282 4 513 16 29 775 40 156 48 14 56 585 17 97 110 943 35 67 101 3168 615 37 29 2980 513 6 156 10,0
10 377 11 1 14 2 89 20 10 69 280 31 2 460 2 430 14 443 8 1288 10 14 53 4229 9 14 145 8 55 1351 523 70 55 636 844 6 1 460 8 1 1 1962 10 2107 2 1 3 2 697 5,1
34 373 20 9 208 26 76 58 436 47 144 1 6 27 2010 17 2 1775 5184 1932 579 2 66 5 2 89 821 640 6915 6440 3 1 9 643 3827 55 3438 7 22 12 1932 579 6709 16 2 2294 44 2 66 67,0
100 2 960 5 757 264 3 30 2282 30 56 828 64 12 8 2 169 4 1 5 757 264 21 4 94 1 8 21 2 342 221 342 277 342 60 1104 12 7 49 35 114 16 7489 757 264 21 4 2395 41 8,1
10 69 2 372 6626 5 251 6 633 11 2420 8 30 1 13 32 10 26 6 131 7 562 121 60 3 284 11 45 188 6 27 2 246 2420 5 32 60 9 1414 54 27 471 4 2420 51 39 34 1 79 9,0
49 34 390 1401 18 44 23 26 9291 6 491 105 9 23 466 2628 9 30 101 72 249 1 2429 2 18 21 25 5844 3 257 48 207 231 51 77 71 90 10 126 427 9 2 214 33 1 290 60 6 2108 21,1
89 5 32 617 75 4 168 179 805 138 4 10 222 34 2259 328 205 45 76 15 4 511 5 192 10 318 6 105 2150 1 32 2 60 8 1 919 10 82 39 428 5596 79 481 602 1809 10 39 2 4944 94,0
11 14 2 246 18 10 212 31 1 3 9 81 1914 2 225 1102 5 7968 3612 10 68 62 103 9 7 5532 136 3827 447 21 2 1102 5 606 148 8 2 20 30 85 6 65 1 19 441 62 8 2 18 17,0
2 3416 3050 66 259 4 112 51 43 1793 3416 4531 1258 122 153 9 992 8 711 1766 2294 3 1 13 9097 1 1958 3416 14 22 4 477 7031 59 7 4 50 542 19 298 4 53 2524 3 425 5 939 3416 3050 10,1
2 2421 7 34 3760 965 4 1 1243 80 22 62 2 3698 339 5 4 1474 484 19 81 80 29 5 4 53 1024 173 11 7 1 2018 5 49 68 27 3186 44 376 3252 1 63 1 1 11 7 1 31 163 3920,1
11 20 748 6 27 101 104 179 32 31 278 1 950 2002 363 2577 4570 752 216 238 1132 1 2 1052 271 21 3 21 9 1228 4090 31 32 5 95 19 48 14 194 616 6 374 70 37 1564 9 125 356 2 2780,0
11 18 14 38 4199 263 451 6346 3 10 14 442 2591 6 26 4 50 60 10 31 225 199 446 27 468 6 892 9 19 10 14 342 89 2 920 1 9 14 39 147 4256 1599 347 3085 2 1526 766 10 1616 95,0
311 18 7 4 363 548 12 45 76 223 3 1 38 104 217 12 2300 396 1 115 3 2358 218 842 292 1 17 97 1817 1840 16 1 3761 278 8 4 132 187 4 311 18 265 323 12 271 436 2 8903 3 895,1
7846 3 1 3029 2465 1 7719 7 4 6813 792 755 34 2412 727 18 743 2 161 3 4945 5 2 1589 1 13 1 8 2397 7971 4 1123 5 1281 5337 16 63 1 33 2422 46 8 5391 291 5 95 130 58 31 4,1
1 1 7 29 5 2 1949 20 120 92 8 1352 460 510 33 2 85 173 1 1 11 29 7 2 87 1105 264 3207 4456 460 61 81 666 46 6 27 4 2003 960 54 635 1 1 7 34 2829 17 32 935 688,1
55 89 4816 6 2 1 22 4 50 29 10 14 2243 6 159 11 407 729 2 7847 37 7973 5284 408 61 45 768 171 77 1249 2083 136 15 6036 941 2 2482 490 7 310 19 11 618 175 2329 2 192 12 2 20,0
29 5 2 87 2662 4031 37 2 426 20 7 9497 2321 142 33 2 1994 2 4371 1 1 6630 1 4 3145 1 4861 134 1835 37 1 8 2525 2868 52 67 1617 6 90 31 2 371 5 2 20 235 76 582 4 1,1
10 280 11 20 22 64 1009 72 10 188 9 8 4 3323 5 96 32 5 61 67 178 372 8 63 202 98 17 483 4 1 38 49 99 10 527 3 23 118 49 10 14 203 35 67 32 372 11 18 45 4,0
10 1154 11 20 31 2577 17 79 9 2561 209 4 226 1 16 2 306 5 287 7495 189 4 5188 79 48 14 4 1044 254 8 4 1 21 2 145 3 79 48 14 4 1 800 1 21 9 10 199 9 14 164,0
2 115 7 43 2 321 5 112 462 3807 7 2 29 36 45 6 3700 2 3555 300 2 18 9 716 12 28 45 47 4774 16 25 573 8 2 130 2 1474 484 75 1014 174 9 19 154 23 159 46 36 1 23,0
120 280 4 18 12 433 2 115 73 11 152 54 64 26 29 6 873 5081 13 116 6 873 2 1 2059 133 5 250 1916 1189 189 2 333 16 155 56 288 5 4123 40 54 8743 1061 54 300 2 654 1744 1 12,0
781 38 11 215 239 5 290 2 5536 5 138 74 139 176 1355 8 1355 46 599 1 110 1503 46 25 1422 36 7 8 4 226 5 4 1 19 652 342 16 12 599 8113 7 29 5 2 790 110 148 46 48 3,1
100 1189 142 11 2711 5 1 55 691 3 10 3511 695 9 14 155 2 2096 5 34 3033 6 65 695 4 1209 1988 99 2253 4 18 9 14 12 1 3 4571 19 2 171 2112 1282 8 121 401 464 2 20 1 30,0
9 69 32 2 1641 5 94 5 11 545 3 56 2230 2 115 405 1344 3 31 2 130 5 2 18 10 434 39 4 6271 17 147 9 2 349 14 50 187 2 230 3 111 67 2420 490 2 1012 14 327 79 48,0
11 18 7 447 21 2 272 4 104 1 150 33 8908 1 3 9977 1166 5 1357 4198 200 1 3 8260 4 2870 12 265 37 6351 882 2231 15 34 1 1779 58 8 2547 12 961 3 2 299 2937 2452 3187 392 11 117,1
5 32 2 96 10 26 106 11 29 2 3733 45 188 6 27 29 5 2 246 248 2 453 2065 2432 1253 8 1 3 733 92 70 1442 46 8 1481 86 99 241 211 58 16 137 38 1789 2049 6186 7 118 17 25,0
10 69 549 50 179 43 1626 5 1509 3 354 8 16 34 870 339 10 199 12 3075 1186 14 781 3 10 199 12 270 1 69 3671 3 1 15 4 1673 2 20 1718 16 47 5237 111 3 10 199 73 270 9 78,0
11 18 3410 347 17 70 107 10 377 2 169 3 55 365 803 8 4 3527 10 2630 44 10 880 264 101 44 10 69 3350 3 109 486 58 10 101 99 26 2 296 1042 2 333 4 168 332 4 494 32 6 648,1
15 4 1 195 106 2 18 217 8 2 234 151 3 10 62 41 212 2 676 11 1355 11 1458 70 6 1652 2 18 197 107 1 33 49 14 40 282 8 2 676 187 9 1 70 52 10 280 2 676 13 13,1
1 7 34 3584 18 603 62 1794 1509 7 12 9 412 7254 7974 323 16 4 50 180 5 721 148 2 66 2764 189 4 1 9743 6712 36 480 821 100 7370 1794 2 122 5 34 6187 1 2 66 271 4574 2321 142 2,0
86 11 20 99 27 7975 15 461 10 26 56 306 44 10 67 304 5665 3 1260 1 10 57 27 258 6 1 11 37 55 1 9 14 15 4124 1766 15 1 3 8115 7615 3 5394 188 1 80 8116 167 1 6448 167,0
5601 1 2 644 3 2 3009 14 4775 33 2 1069 17 780 1944 40 3256 151 356 2 538 169 52 9 1 3 54 1164 58 21 686 8 2 7154 9 69 5847 8 1 79 1 1 2 3616 2779 272 69 4534 12 2,1
841 3 1157 3956 2981 4740 61 769 30 126 177 84 33 1210 1570 19 1 33 30 1160 7616 3 47 320 2433 136 15 4 3529 60 1032 21 2 1166 5 5286 3 1 13 2 3398 4903 5929 24 8 378 5287 5140 396 1552,0
975 6 2 837 8262 7 29 5 143 352 6715 94 61 5603 7157 145 8 2 169 3 169 603 548 7 4776 6 2 4095 2335 5 363 3 2 1994 2491 7496 2 8909 6 2 2335 3419 2927 1 1 3 4 162 2482 92,1
1203 32 101 8 144 122 15 73 15 8 2 94 1049 66 12 522 6 104 183 331 36 24 262 8 4 311 3702 16 4 1028 40 5604 8 63 922 2 409 5 183 3 1277 8 109 5731 40 6109 4 1028 1982 1848,1
5084 3644 1505 8 428 5 128 469 386 1 17 1 2261 8 2 169 3 2 3588 8911 7 29 5 2 124 1 13 5084 298 4 1163 1662 36 7619 183 1 3 1058 95 3 91 1 7255 37 63 2012 38 28 68 374,1
10 556 260 10 495 11 15 72 15 10 114 2 8562 563 67 124 71 2938 19 2 1 66 3 30 828 279 2998 70 9502 5 1049 1423 78 374 23 2113 638 116 10 26 10 106 95 154 799 2 615 60 3558 21,1
2 7723 5 2 5085 1 12 126 1386 4419 4862 57 82 73 6 65 11 18 61 259 2 6548 5 2 680 2939 3 2 2327 5 15 9981 706 6 2 2035 1 4006 270 91 35 99 567 8404 43 1794 401 3 182 2,0
15 287 45 458 999 21 11 1747 30 53 830 6 93 4 1197 659 9 3514 3284 2792 1562 4778 3192 3589 4 4128 865 4 1245 3000 3 64 802 111 2312 85 111 13 13 136 7 22 2 409 16 117 1508 9 515 6,0
2 3088 26 497 1550 7 49 23 57 527 9 6 27 3 157 51 5 256 30 22 164 6 27 34 893 2010 20 30 41 1022 732 61 23 68 41 1633 638 8 17 4904 13 2 115 7 661 43 4 516 5 1989,0
10 1394 32 2 98 142 11 4627 18 30 38 1397 4 252 857 42 691 100 104 151 5 1554 45 4 6191 8 991 5 4 144 4097 1125 49 522 2 1125 3030 265 971 3 1441 42 4 294 602 362 150 23 118 2,0
56 3958 13 100 4201 1105 89 296 20 6720 447 664 1 1 5396 663 5 3617 869 3 3928 28 3703 6 47 5 2 51 1049 1362 5 25 411 673 834 3959 2095 3 7257 15 2 171 6816 80 190 311 1550 3 2 1010,1
10 41 280 2 1 11 2157 251 62 106 9 278 154 43 4 2599 151 8267 13 30 22 4 193 18 3 149 350 6 93 4 193 1 19 55 553 2 3695 5 2 108 823 857 70 41 43 9983 2323 7037 3 836,1
49 581 49 74 26 138 7 661 4 1160 3 4128 865 3 16 4 519 3 1024 180 19 1198 2 18 2050 9 155 9 109 64 188 164 48 14 4 112 2366 52 74 159 46 12 9106 7 22 64 2400 91 159 46,0
195 41 280 1 3 141 4779 6 65 2 841 641 17 2 3647 13 22 62 14 2 115 14 830 6 867 19 9 181 110 943 14 5785 1 13 2 148 67 4536 19 8 2 1487 5 2616 6 988 1216 3 488 63,0
38 617 1 13 2 18 397 7 15 210 15 1 94 57 605 1 13 55 3420 6 65 9 14 406 1 107 29 5 55 1819 1638 59 7 15 1230 15 626 11 1 13 10 57 22 131 9 14 55 1819 18 5,1
1328 107 348 2 133 67 8406 3 443 2 18 748 6 1990 47 239 5 1506 19 1455 1070 16 30 727 49 67 2 1678 2492 21 399 5 12 10 88 103 9 99 93 1 161 97 51 1 71 9 114 0 0 0,0
34 1 252 758 7374 3411 7725 204 2400 33 4 3035 134 1682 6193 28 1441 6 2205 42 46 5 4 288 5 1 19 59 488 90 185 1070 3 1063 6 2911 2 544 21 42 202 179 139 587 356 2 541 758 5471 1,0
88 1572 4 8749 7 29 5 6041 911 3 1112 8 1239 5 756 124 96 3 257 22 2 761 8268 12 2981 7 606 17 11 7 126 4 53 967 3 722 704 13 2 66 8117 4 383 507 116 4 215 5 541 1529,1
1 907 1 8270 298 1 7979 8737 7259 7726 2 2650 1 5 1 34 440 1 2285 8 529 2830 6 962 42 1193 2 1 1 1879 80 4 7162 6 1995 4 2413 1520 4990 6 42 960 19 1727 1 4 7499 6349 6 1,0
10 64 39 5039 1 38 10 14 64 672 52 10 106 11 18 9 152 26 72 5 4 115 3 49 35 114 26 14 22 12 2375 5039 187 114 161 50 8 2 18 561 183 3 1 19 14 267 2 1836 5 11,0
141 22 245 135 2 1118 859 6 3525 21 2 403 5 4 655 1105 18 3107 79 2 407 3159 12 9 7 4 795 6 2 89 291 1 9 7 22 54 153 1 7500 114 978 8 1 28 247 4 442 273 110 28,0
11 20 1 323 16 47 5 2 87 717 66 414 3 2013 102 120 106 2 786 504 1154 2 1 86 6 924 4 751 1555 18 3 1542 9 285 33 285 8 791 2 2268 334 5 7260 681 6 63 424 514 37 3193,0
1 108 7 4 50 18 33 397 19 1056 6 2 210 9 175 6355 58 577 6355 7 4 498 6550 17 2831 4299 3 2223 5290 132 158 41 175 6272 16 7853 1 1 9986 7 158 107 2 62 110 37 2 210 87 5,0
1112 11 335 20 1621 2 9306 318 8 2 1 129 7 178 73 92 19 126 4538 194 266 6 2644 2 800 552 2 1 269 7 5040 3 735 3 10 712 92 58 55 339 44 11 1503 40 1 9 44 2 20 14,0
10 199 12 1 45 76 1681 439 30 22 41 43 732 219 1 5 1254 3422 12 10 103 1 14 258 6 692 566 3 417 9 232 27 1375 6 47 5 1 44 23 152 105 1 2401 1 17 4577 13 10 2232 2875,1
10 222 22 4 5473 328 33 97 769 21 196 43 6042 2 18 624 16 4 129 8 2 538 169 172 94 10 39 19 22 5473 187 747 2 89 129 4 183 457 1540 1 7 1 33 2 2258 5 331 28 271 971,1
664 800 9110 1 1520 5087 8 10 1464 4 85 616 8 2 1 1 5 2 1 548 10 161 959 6 4 1 1371 6 867 58 16 428 2282 6 128 2088 1 5 1224 3676 44 62 1417 1980 99 692 25 1254 288 5,0
9 489 6 27 2 1556 1217 5 2 1146 3 16 4 180 39 1 1 1435 913 3 1 4330 9 64 7 2 402 1 5 32 60 30 155 7 4 178 249 1 1217 12 54 16 30 1515 2360 121 616 9 208 26,1
2 234 264 331 679 578 7502 34 9987 398 4 201 3926 2504 962 37 4 3619 1231 82 28 3 25 325 415 17 2 2891 4064 37 2677 3 4777 56 35 88 79 7502 45 4 1907 5 1167 6 491 2 2304 1704 36 768,1
270 9 14 2 407 40 2 1523 406 22 2 2530 21 2 269 61 7 16 2 173 15 28 937 597 7980 332 80 2 379 39 4 1 19 10 69 1364 17 1 5 4 4091 6 27 31 225 4 226 5 2941 249,0
2 168 133 12 155 571 4 2651 5 4376 1612 5088 4 1 457 1 1 7261 1 200 4823 1475 52 1 40 601 553 7728 350 63 590 31 8919 1 35 438 39 7505 1 4 5853 2 3620 5 1 3695 1 4 5089 5,0
11 20 523 70 33 828 10 93 9 4 5734 5 1392 46 15 112 15 596 43 96 154 6358 79 4233 3 782 1658 1437 100 1437 32 10 670 664 5854 2 773 7 12 9 14 4 659 43 4 201 1015 351 3 12,1
1682 1 7 4 1182 28 7 2 742 5 9750 147 11 18 160 70 227 939 19 30 4 85 18 22 550 420 19 53 53 1597 2 18 4414 189 6930 2912 1682 1 4 134 36 160 9989 161 841 3 25 5931 3 4057,1
2 66 7 43 4 4743 252 1 36 1497 6 42 7164 3 779 1 42 8563 1614 501 2 321 5 42 1614 444 3 5194 365 1 2271 12 42 444 14 41 2 89 8 4 3002 5 1529 12 24 126 8750 68 42 4743,0
452 553 10 208 26 106 11 52 10 14 62 40 4901 88 952 86 10 196 26 76 183 19 10 282 359 241 99 65 12 11 7 4 84 18 1484 3108 1 3 53 682 195 106 51 1143 281 31 1 195 106 124,0
1975 823 2389 1 6 211 8 6554 5 4 1332 663 12 45 3516 4265 3 5668 6 25 122 32 447 189 2 611 15 2 66 4004 8 144 122 3 1225 1 208 829 46 25 1761 6 2 272 3 86 2 66 78 814,0
74 768 11 20 15 4 993 17 4 444 3 99 5 76 250 246 993 6 285 2 20 7 1096 1677 3 2 111 7 4131 2 246 541 301 120 318 3 1 711 4 1 236 2 115 7 1 3 31 772 74 14,0
11 14 233 2 246 18 10 26 120 106 8 55 122 9 14 359 48 14 56 115 3 2 307 5609 67 650 3 10 26 109 106 136 84 111 8 55 122 2 62 50 170 43 2 18 67 32 2 888 1 2855,0
11 7 4 761 8564 663 349 8 12 108 83 36 26 1 47 425 5 1701 1820 6 75 295 450 2 3978 10 554 648 11 4 1437 79 241 36 45 326 4 8564 663 651 86 35 32 130 44 23 88 184 6 118,0
452 1 29 5 128 1296 5 2 875 1309 254 94 10 88 54 377 86 104 195 106 270 9 6274 19 22 6 70 22 662 31 32 2 875 191 94 24 26 76 53 706 229 2 89 29 5 128 81 2 3286 5,0
5235 3059 7 831 2 669 507 1 852 1015 6 3963 6821 1 19 81 7 4 1 1 3 1063 6 1197 25 202 321 6 502 242 16 25 1782 1516 9508 1 1 187 8 38 398 28 204 4 7981 5 1 3007 2 403,0
363 18 1378 7 2 1 29 8 2 426 190 9 62 708 4 694 625 6 6637 2145 16 2 166 172 642 1 127 3 127 176 182 1 17 463 17 244 1 3 5345 48 24 1 1 1309 7043 3 5242 875 191 5476,0
185 1 45 76 8 250 3261 229 9 89 4331 8 1765 229 91 74 26 6275 2 269 3 4 3708 37 460 4865 13 9 7 4 2472 499 12 123 22 139 1 7044 15 361 5736 40 4461 9 7 89 3 7166 4 216,1
44 23 354 138 30 79 797 458 106 11 20 3 67 2166 49 381 69 6 131 43 572 13 10 227 17 23 10 64 82 3 10 1 8921 15 4 2306 79 174 49 74 82 12 11 20 120 69 6 1857 121 497,0
7857 8755 9991 3812 3 2054 326 24 291 1297 485 8 11 2183 20 37 61 4037 7857 8755 6 20 1046 9 81 412 1262 9509 1 1 1071 1 304 742 1 9992 3 2324 4952 30 4 1097 66 43 291 183 367 146 582 8,1
44 241 7 1451 135 56 29 160 94 39 35 318 6 16 2334 110 3 4 569 777 5 1643 2956 6 1 80 137 162 124 3 273 143 1418 344 6 182 8 11 20 3 65 399 3282 493 910 3 111 12 1 80,1
10 280 11 215 46 5 1 6 65 44 35 99 838 3 16 32 11 700 1 82 8922 919 1 352 1556 5 1220 1 1 1 3 2434 1 1 5 256 10 14 369 185 417 35 69 32 2 5737 102 2233 19 35,0
2279 8279 7 2 87 7732 301 1134 595 1 1 8 4 690 16 4 633 4429 2281 3287 8 8 2 403 5 2 365 34 1 1098 6361 8 6115 5 162 808 8 4 236 713 217 3977 71 6439 1 8 2 9307 3 15,1
55 470 57 27 11 14 1835 164 6 27 31 225 108 524 3 1300 31 225 4 7046 1126 79 868 86 68 29 1208 30 1469 1 756 10 14 109 322 433 19 10 14 387 5542 433 3 605 7858 21 110 3493 2 18,0
73 10 39 6 105 84 191 5596 1065 10 103 30 209 6 65 2795 3 1 5 3262 6 1213 623 50 18 10 205 1582 11 94 6 17 463 47 8567 496 3 1 88 368 2 620 1419 8 49 10 65 10 39 1417,0
11 7 2 246 18 10 26 120 106 15 73 15 2 246 12 10 78 233 120 65 10 65 56 344 6 6933 49 32 2 381 26 293 2338 41 27 1 13 11 7 22 29 5 143 84 94 23 103 23 184 6,0
10 26 76 4 3353 328 17 15 201 15 10 68 377 10 26 53 3981 1772 5 380 1449 3353 190 15 4 544 11 445 45 768 145 104 5 143 1772 132 2661 137 162 1449 3353 5855 7 2 2184 4011 8 2 475 3353,1
11 335 20 12 1622 2 1 378 1821 809 1 2766 7 4 602 404 12 1 436 706 2235 1 2550 897 2 335 20 412 2465 2 1 36 100 107 3787 37 25 294 5295 8 2 513 436 2 440 1 11 865 2039 17,1
781 234 316 7168 837 10 69 2 4906 1 5 1882 454 1073 1 31 4 771 5 2 20 2 1 238 31 2 291 6278 8 3374 15 170 5 2 3374 2719 20 1383 1910 49 10 26 6 131 43 9 89 5 32 2,0
10 1154 11 445 21 34 1 746 37 8283 10 222 1133 10 114 9 14 53 420 2468 6 1791 3329 3 380 2 445 10 199 2 2942 67 2 113 10 26 120 106 8 4 1 969 2 4459 2142 67 53 264 2 9308,1
56 11 3813 498 169 4659 191 1 207 43 4 2348 1 3534 1 4204 126 11 4205 373 248 6441 1139 3 1300 722 1 1262 5402 3964 4 2666 1 5 1416 1 5403 3 1 174 177 1 8 4 1 425 5 98 793 1,1
9 7 750 6 370 411 8 11 18 568 49 78 557 3 36 78 757 9 7 43 367 3 4 134 36 21 4 2972 11 14 92 300 2 130 5 2 6363 3126 4462 52 2167 367 67 1498 6363 296 4332 3 1 67,0
4300 4330 412 8 11 1760 216 119 83 598 33 2877 8 4330 298 4 1 37 1 7734 36 2784 8 363 16 42 365 1 1 2 1 35 3425 8 7 4 5738 15 7 4330 3232 2525 2403 4330 4783 4 294 8 2466 216,1
2 236 5 165 301 3 542 8 2 20 24 7381 1247 61 7 49 18 111 140 27 3 2 910 2792 7 38 2263 2288 21 165 1306 12 10 222 109 1330 5 312 9 127 3 127 176 187 10 222 240 725 6 65,1
132 340 2176 2 1443 430 14 632 348 340 2176 2 449 6364 7 955 84 8 11 372 795 2 862 7 21 5479 551 52 35 75 4 6828 1 37 2 1 12 1 8746 765 1 3 1 2 1 347 190 26 76 2952,0
450 305 2469 11 1 2551 45 53 112 8 1090 16 3616 2779 30 4 5671 5 4 4012 19 376 2797 1 539 8 2531 19 1 189 60 2 7736 5601 1 259 629 5 25 305 3710 17 1 733 3 629 5 2 8924 1226,1
11 7 2 113 315 38 237 12 23 78 65 3 2 87 289 6 2 1 163 5348 7 4 112 1244 6 787 15 5405 36 1148 6639 8925 22 2225 19 25 111 1 11 3 1 2878 178 15 59 7 7 81 4 588,1
654 2 83 12 1064 2 145 5 2 949 114 22 1263 6 105 11 2945 18 35 1971 1 5241 3928 3 543 10 212 56 3928 10 302 212 4 3898 571 31 396 8 4 413 2916 2566 18 10 212 56 543 31 225 10,0
10 427 1 236 19 174 43 2 62 1175 150 10 68 131 263 14 3711 6 2 220 5 6365 87 5 2 148 4907 39 23 57 527 121 2486 6448 6 1103 44 28 67 4302 6 27 4 5611 1 997 40 34 1 1085,0
30 1251 52 4 158 18 149 93 1843 23 49 4 2158 11 20 7 53 348 3 38 201 30 313 1 2 66 7 1 197 3650 3 56 5036 13 23 227 124 52 30 1751 0 0 0 0 0 0 0 0 0 0,0
38 73 92 56 1557 642 45 241 324 76 21 2 3561 1 3230 5 1 1 2005 154 319 958 14 98 778 8757 14 4 226 1 13 199 2 2167 1899 14 310 8 9 712 64 106 42 154 3 2 77 1899 7 4,1
2 5407 7 34 1311 755 16 428 115 1216 2619 33 110 240 71 340 488 2 344 6 887 307 281 4993 869 3 2078 494 3161 187 48 7 4 494 1205 8 138 3 4 7170 9 7 1 4013 7 375 15 186 2 3740,1
11 7 29 5 2 1949 94 10 26 120 1 4543 1 1 4498 1 83 3065 509 63 1 3814 17 47 1 3 1 111 7 322 1 17 70 15 1 2 113 7 2 738 5993 3 9514 5 2 1 26 974 60 8,1
286 8 2 2 337 329 5 2 680 7382 5729 100 2 2503 5 2635 1 11 20 1958 2 644 1612 200 2 4376 5860 1 7268 7171 31 25 1949 3 1 4 8926 236 33 2 4868 301 1 1 2 1 4376 1 45 3703,1
605 141 4 226 5 4 328 5 2 84 3835 411 1 20 1911 146 45 1 11 20 7 38 916 372 12 9 14 4 144 1 2129 6 810 142 391 6120 58 15 485 45 76 223 6 321 19 109 38 8574 6456 1,0
10 26 146 106 177 4 168 96 33 1 1 19 11 57 26 6 27 2 87 1319 38 237 11 20 451 6 536 2 1 12 7 605 2457 8 25 96 3 2 66 41 109 188 70 889 104 1 9998 978 8 11,0
10 2890 495 4463 1 663 2 8927 3712 3 10 14 6936 6 65 48 14 4 18 315 4 252 5935 4 997 1285 17 42 202 580 3 25 1905 34 1 4690 489 6 735 25 403 33 3151 58 21 2 357 3354 918 640,0
11 18 204 4 79 48 7 4 167 5 614 8 1 2136 43 2 115 40 2 1 7 34 1004 191 18 83 38 23 118 23 175 527 72 37 2 111 40 2 1 651 2981 523 883 37 77 94 3 1178 9 6,1
6642 3563 380 4869 2389 1 2650 1 36 1 4 112 4544 21 42 1510 7 390 375 8 11 20 59 5613 2 1834 1 8 2 230 16 1 3 2066 4 1251 129 116 59 3 7254 7974 714 8 4 1908 6273 1 7627 7,1
4 1089 686 173 7 1617 6 2 319 1803 3 1 8575 33 25 1033 2720 2 1184 6 2783 25 1106 37 25 610 2 134 679 4 1 616 8 25 122 3 4 288 5 1 478 2 134 2271 132 28 7 2944 25 1106,0
4014 417 2 169 4 60 5 1 3 8552 2620 3 4 2743 5 77 218 412 3065 8 4 2618 2314 4125 242 1 31 2 60 10 395 260 86 94 39 6624 964 8 218 3 1 1 3 36 68 799 2 650 954 3152,0
11 812 447 21 108 4382 2202 8121 1240 2 749 5 2 333 5 1 855 5 321 5936 7 155 177 1005 37 435 6 130 9 7 706 6 47 5 2 172 7861 94 43 83 12 871 8 34 172 1 333 17 463 2,1
10 222 38 678 3 725 12 48 7 38 72 616 8 11 18 698 4746 14 55 2768 80 2 96 1082 3 7862 33 1 732 3 197 1490 263 11 1123 1886 16 7 1022 642 89 3 11 7 53 609 109 120 105 11,0
