sequence,label
11 7 2 246 18 10 26 120 106 15 73 15 2 246 12 10 78 233 120 65 10 65 56 344 6,0
10 26 76 4 3353 328 17 15 201 15 10 68 377 10 26 53 3981 1772 5 380 1449 3353 190 15 4,1
11 335 20 12 1622 2 1 378 1821 809 1 2766 7 4 602 404 12 1 436 706 2235 1 2550 897 2,1
781 234 316 7168 837 10 69 2 4906 1 5 1882 454 1073 1 31 4 771 5 2 20 2 1 238 31,0
10 1154 11 445 21 34 1 746 37 8283 10 222 1133 10 114 9 14 53 420 2468 6 1791 3329 3 380,1
56 11 3813 498 169 4659 191 1 207 43 4 2348 1 3534 1 4204 126 11 4205 373 248 6441 1139 3 1300,1
9 7 750 6 370 411 8 11 18 568 49 78 557 3 36 78 757 9 7 43 367 3 4 134 36,0
4300 4330 412 8 11 1760 216 119 83 598 33 2877 8 4330 298 4 1 37 1 7734 36 2784 8 363 16,1
2 236 5 165 301 3 542 8 2 20 24 7381 1247 61 7 49 18 111 140 27 3 2 910 2792 7,1
132 340 2176 2 1443 430 14 632 348 340 2176 2 449 6364 7 955 84 8 11 372 795 2 862 7 21,0
450 305 2469 11 1 2551 45 53 112 8 1090 16 3616 2779 30 4 5671 5 4 4012 19 376 2797 1 539,1
11 7 2 113 315 38 237 12 23 78 65 3 2 87 289 6 2 1 163 5348 7 4 112 1244 6,1
654 2 83 12 1064 2 145 5 2 949 114 22 1263 6 105 11 2945 18 35 1971 1 5241 3928 3 543,0
10 427 1 236 19 174 43 2 62 1175 150 10 68 131 263 14 3711 6 2 220 5 6365 87 5 2,0
30 1251 52 4 158 18 149 93 1843 23 49 4 2158 11 20 7 53 348 3 38 201 30 313 1 2,0
38 73 92 56 1557 642 45 241 324 76 21 2 3561 1 3230 5 1 1 2005 154 319 958 14 98 778,1
2 5407 7 34 1311 755 16 428 115 1216 2619 33 110 240 71 340 488 2 344 6 887 307 281 4993 869,1
11 7 29 5 2 1949 94 10 26 120 1 4543 1 1 4498 1 83 3065 509 63 1 3814 17 47 1,1
286 8 2 2 337 329 5 2 680 7382 5729 100 2 2503 5 2635 1 11 20 1958 2 644 1612 200 2,1
605 141 4 226 5 4 328 5 2 84 3835 411 1 20 1911 146 45 1 11 20 7 38 916 372 12,0
10 26 146 106 177 4 168 96 33 1 1 19 11 57 26 6 27 2 87 1319 38 237 11 20 451,0
10 2890 495 4463 1 663 2 8927 3712 3 10 14 6936 6 65 48 14 4 18 315 4 252 5935 4 997,0
11 18 204 4 79 48 7 4 167 5 614 8 1 2136 43 2 115 40 2 1 7 34 1004 191 18,1
6642 3563 380 4869 2389 1 2650 1 36 1 4 112 4544 21 42 1510 7 390 375 8 11 20 59 5613 2,1
4 1089 686 173 7 1617 6 2 319 1803 3 1 8575 33 25 1033 2720 2 1184 6 2783 25 1106 37 25,0
4014 417 2 169 4 60 5 1 3 8552 2620 3 4 2743 5 77 218 412 3065 8 4 2618 2314 4125 242,0
11 812 447 21 108 4382 2202 8121 1240 2 749 5 2 333 5 1 855 5 321 5936 7 155 177 1005 37,1
10 222 38 678 3 725 12 48 7 38 72 616 8 11 18 698 4746 14 55 2768 80 2 96 1082 3,0
7508 5 2 1273 1492 12 251 2 166 173 1 3 1 34 306 149 2665 93 6121 3642 1 13 2 1 1045,0
2 4736 24 6643 6 70 2 1119 422 7 12 11 1847 1293 7 101 3468 17 367 10 222 781 16 128 316,0
11 18 14 29 5 2 113 94 12 10 26 106 11 329 10 152 65 97 3495 8 2 18 19 9 7,1
10 377 312 11 20 8 2 3469 169 199 9 4 73 2604 3 73 973 404 10 146 163 177 387 8 7629,1
108 600 589 10 14 147 11 512 18 61 7737 70 16 30 1 1192 9 7 177 4583 86 9 1199 2 4303,1
3445 17 905 3531 11 7 136 4 9517 1101 229 28 178 72 45 6 1533 9 1 7 2 66 5 1 1224,1
2 5938 1 7 1 3233 21 2 949 24 23 4584 70 11 20 7 4 588 1983 52 141 1 3 139 17,0
11 18 259 4 4995 5 421 1804 1 5 34 1804 366 1 33 4 1 3 366 30 2500 3015 125 10 118,0
241 36 1177 1 6368 4872 3804 1 3 6456 1 1 4 1052 5 50 148 208 27 3817 137 446 117 6 350,0
11 20 99 26 76 4 519 969 3 1 651 9 748 40 1436 595 748 1 1024 148 295 16 4 1105 2222,0
10 159 9 53 1597 12 913 1 2223 1 844 3 2 3091 5 128 367 57 4628 2 1 6 93 193 5793,1
7721 391 47 898 1846 26 780 439 4 663 6561 21 11 418 30 41 34 172 169 243 119 11 418 5 340,0
10 41 280 11 18 21 30 1 316 46 5 3889 3 1773 4136 10 427 22 424 1 1 15 4 544 632,1
10 1014 11 20 21 1 21 1977 9 2561 39 9 57 27 4 50 20 4 875 1387 3331 10 175 131 195,0
154 10 873 369 70 75 137 125 55 3713 141 4 620 328 5 304 1 89 20 1101 1 2 20 4 1,0
1 1 20 4959 8931 1 4 977 7383 4959 8931 436 2 875 1891 8 311 3028 6562 1 1 1 1 3 42,0
100 2296 43 760 1 1 965 17 32 5 55 122 141 146 19 109 251 326 2 272 10 222 442 1469 15,0
11 1044 1266 335 876 108 731 7739 2946 1 3 1 13 1752 7 2 9759 1034 1 457 37 2 3565 36 109,1
10 41 188 145 37 11 962 2818 3 11 1 1859 1101 7 2 1 246 20 195 106 11 329 419 71 54,0
10 377 312 11 20 8 2 773 8 52 10 14 1 23 82 2 1 10 390 424 9 10 14 2405 17,1
4 238 7 3679 142 2 3469 1195 219 8576 1174 1071 1 25 1033 1 1 1 3 1 112 573 1 1 1,1
4864 2131 7054 1064 3 510 11 7384 882 66 5 4 1015 3354 2585 37 42 1 2 613 12 385 2 6459 1,1
11 18 14 22 53 73 510 35 206 442 1 2 1 470 35 67 258 562 60 2 62 6116 70 14 12,0
2 6647 17 11 20 45 205 76 43 2 2772 2942 12 93 1592 5797 4210 1016 35 2090 48 35 140 26 3694,0
4 183 254 480 4 6110 8422 1 3 52 28 5298 31 1577 130 1009 287 4 226 51 1222 731 6460 7990 32,1
11 18 7 4 402 1270 5 2 595 499 1 1 298 2 228 5 793 5097 1 12 5 5742 3 1 2,0
577 1 8761 1 915 37 7992 1 272 1 14 4042 31 2 60 5 30 770 19 8 2 501 151 45 9520,0
49 451 31 89 41 156 1 680 499 3518 56 51 71 1 5411 891 17 70 21 337 800 4 1921 5940 3,1
10 88 103 195 120 486 137 4 641 19 11 29 703 204 2 1 10 159 9 264 41 6 810 142 29,0
8 2 1267 633 11 7 4 2526 373 18 187 9 4873 4 776 402 570 21 2 3975 216 2481 10 68 103,0
37 2 96 89 314 8936 6835 15 2621 1 4788 877 142 4 2055 31 3152 1300 1 32 2 1641 460 45 1464,0
195 205 495 96 12 5728 122 15 9 7 122 500 45 348 1 56 144 115 3 22 2665 4 678 279 4,1
2 66 7 53 1 3 963 2 1739 505 5 2 18 7 177 477 54 2 910 5 9 2 274 422 7,0
11 18 14 22 38 72 6370 138 8 1 153 9 188 50 148 85 230 3 240 50 8288 14 22 4 38,1
813 331 45 188 6 27 2 7512 20 195 120 106 19 49 4 20 10 199 9 14 2772 310 3 1143 9,1
23 118 12 1 2003 116 2 221 45 4 1659 378 5 1 40 874 9 7 3 235 258 64 264 6 374,0
10 175 260 9 12 14 2 246 18 10 26 120 106 8 55 122 10 1394 4 351 5 217 233 79 5,0
11 7 29 5 4 1 5 94 116 302 5 4 6204 5 3788 29 140 105 9 16 4 4174 5 1 6,0
54 153 141 177 183 2 5548 24 55 390 1819 1086 10 109 69 2 585 6 815 63 214 15 9 14 4875,1
34 296 2737 8 1342 69 47 158 524 19 11 29 207 38 50 2 1209 8291 24 41 373 2 2276 7 32,0
1835 10 14 4 1 1521 328 5 63 89 4455 3 1849 8764 6 4 168 4103 125 2 8765 3 14 240 672,1
11 7 41 29 51 5 143 4434 96 12 23 159 21 2579 243 61 1990 2 1 1864 5 47 2030 252 8,0
2 865 5 11 18 14 519 194 19 16 3594 2938 111 9 14 41 1926 3 1 13 1203 2 20 123 22,0
2 459 5 2 9315 515 125 16 34 3211 1878 5 1342 15 4 1 521 5 3168 9113 2021 3 4913 10 14,0
10 175 6722 9 194 82 22 75 11 18 17 2 1 13 17 12 511 1322 113 3198 2 1488 37 9 15,0
7 157 324 21 243 24 23 64 1089 73 91 105 1 2181 187 88 816 9 3 400 82 22 746 9 12,0
2 4457 659 13 13 88 105 11 18 44 317 34 1 1 1399 5 6732 11 72 346 71 29 7723 1 1,1
8 16 2 960 5 2 89 917 5 1425 2 1266 215 3177 1045 1 2 730 1825 17 2 1 16 4104 4,1
10 103 11 18 14 413 6 27 1496 19 2 62 98 8 61 9 7 840 1496 7 86 1496 944 30 76,0
135 175 4 18 27 1380 4 1655 40 54 4 1600 611 47 94 136 15 1348 3092 37 3193 751 24 38 84,0
11 18 523 70 33 828 2 583 1054 685 876 1805 223 817 100 12 67 1 80 4 1 349 1 30 469,1
153 446 549 12 1 942 1 14 2 246 8293 18 5 2 2105 10 280 9 711 9 4 585 100 32 9121,0
34 3360 965 37 2 5133 5 2 977 5 1 3 2 1402 154 60 11 14 4 53 1315 6942 1011 10 377,1
11 18 14 4 2099 15 4 216 3 4 20 8 825 9 14 4 53 593 2604 18 12 451 6 27 258,0
9 7 38 1 6 65 29 85 404 5 547 1 80 156 197 1 40 1 10 69 56 470 15 6 86,1
11 18 7 53 1098 248 1138 16 210 733 3 619 102 9 45 29 5 2 87 728 563 3 7 53 289,0
2 268 45 388 211 17 70 6 2152 2 1 5 1 1975 15 34 3567 1 5 42 110 3 2 2125 571,0
11 45 6 27 2 246 404 5 1196 195 106 8 4 9772 13 6845 7997 7 4 1 28 561 9536 10 645,0
4 53 1690 4659 2096 1 1003 6 27 4 574 5671 132 1 2 382 5 5244 17 932 879 1 142 2 1,0
141 245 833 8 2 1 5 698 3927 339 2 110 5 1 1 7 390 602 19 56 9 207 23 68 370,0
10 712 326 2 1774 6128 663 12 11 18 14 447 21 19 36 651 270 877 2 272 7 8265 71 2694 1575,1
132 10 1620 534 15 4 328 5 2 1 686 215 2 210 18 12 1617 2 215 14 4 849 371 257 104,0
4667 1 486 11 20 4 1 2057 641 8 25 18 3 408 3357 49 20 14 28 266 31 544 4471 40 3075,1
10 88 260 48 45 120 76 4 51 440 40 3114 686 1988 6 934 8 2 2330 1626 15 2 1407 35 24,0
44 23 645 6 65 5302 965 8 30 6565 10 1382 23 159 11 2194 315 840 9 7 5201 31 701 3 4,1
2 1775 1305 7 2 66 5 4 1 5550 1229 37 2 172 190 2868 6 2 162 190 951 1 4 4861 134,1
8769 112 418 247 1341 17 890 19 16 1020 1 5 792 820 4 9775 45 1 5101 4 1 2568 21 30 98,1
10 69 154 4 528 5 1 17 32 1559 96 19 100 312 11 20 10 712 11 7 4 967 965 92 33,1
10 280 2217 8 2 169 3 30 3524 771 21 1763 332 8 2 2151 53 538 31 316 10 377 520 12 9,0
8939 824 8939 1 8939 1 13 54 153 10 57 117 6 1234 58 17 11 20 10 177 313 175 2 18 181,0
2943 1 2486 1 488 80 7523 7280 2486 1 36 820 181 2375 6 1 151 25 6935 146 2486 8433 3519 657 1,0
1 2495 1 36 57 139 21 6 340 8 2 85 2420 484 1 37 3193 751 4216 6 343 291 4861 391 794,0
44 23 374 1 1221 2276 46 5 9 11 20 7 155 177 420 30 188 218 1217 3 869 3 29 5 2,1
2 20 938 204 6 4 646 1205 129 16 120 7874 3289 2 89 64 84 150 7 2 221 1 1851 2188 57,0
209 3 335 686 18 3888 47 5 2 1 2969 3017 1 9326 7056 15 2743 5 2 4792 119 20 7 3524 53,0
97 20 43 2880 92 300 2880 33 4 673 349 1123 45 56 1 1 8 55 677 1 2 1 5 38 104,1
4 512 191 20 1202 2691 3 53 662 101 2 150 7 4 969 37 304 3050 19 601 82 22 369 12 262,1
10 390 117 11 20 263 43 9 9 206 434 39 147 70 3 55 325 21 275 2 98 11 18 14 740,1
56 29 68 131 10 282 2643 15 10 26 326 2 782 186 4239 9129 19 39 87 5 171 3173 6 191 94,0
4 162 98 6 358 1 163 5551 3 1 2039 456 6 65 25 163 8 1443 147 1 1745 25 1240 29 3117,1
44 23 427 998 1 8 1 3034 28 1 25 110 15 1754 2269 8 2716 1510 11 7 4 53 849 3562 2002,0
10 26 106 87 44 22 32 5 2 3380 3097 352 96 10 26 205 495 48 2970 9993 54 100 147 9 127,0
10 41 624 147 2 119 189 5489 10 253 9 33 1457 10 14 1241 4630 300 4 2972 9 7 4 85 119,1
11 20 7 73 180 387 682 3 205 158 5103 3 3741 163 63 4747 730 1338 6 3248 9778 1 7 41 4,1
10 26 41 341 4 17 6058 6215 10 719 11 17 108 1013 29 6 1742 141 22 4 1 36 62 392 84,0
11 18 14 372 2 115 14 372 3 1397 10 556 355 11 18 116 114 11 18 211 37 11 18 14 22,0
10 1985 2992 11 119 10 384 39 661 297 31 12 394 7 402 3 972 3 10 762 4 6850 394 57 161,0
1693 10 88 39 215 31 32 481 32 6 717 3 35 2309 6 410 348 3 737 53 1 13 128 215 187,1
3837 5747 11 14 553 373 10 1733 8 2 773 17 17 34 537 3 713 224 3 10 199 10 14 164 6,0
11 18 7 197 4 762 4 402 17 32 23 83 46 48 36 24 641 11 20 469 1 79 9 45 56,1
10 212 11 31 2 1342 20 1383 234 316 654 2 5424 315 578 1 2439 5 2 1574 5 2 20 7 53,1
10 175 260 11 18 1242 6 75 136 4 2242 330 641 5 9 7 1096 1677 3 3628 348 406 29 5 2,0
11 18 64 9130 70 58 39 9 6050 58 2 274 896 110 5 11 1 273 18 37 25 122 1 13 11,1
1417 1980 5358 176 2 192 12 11 18 14 92 140 198 97 1 13 5947 20 3339 431 97 906 23 232 26,0
11 2148 4 320 833 180 19 17 4 755 23 124 1698 51 71 403 148 3 714 2 89 902 5 11 18,0
10 103 11 18 45 188 9 32 9 45 64 619 214 12 10 68 109 75 46 5 55 415 9 45 619,1
1923 1592 7281 4633 595 31 2 330 394 8 4 383 6357 521 28 7 388 366 1015 6 3312 1927 4590 72 6,1
52 2 583 314 7 171 8422 623 1 2 171 6737 4 18 45 4 1244 1168 1501 19 478 9 14 4574 37,0
74 605 103 5 2 673 15 2 6854 31 8775 85 1217 37 2 1 607 16 2 1151 5 2 701 1 3,1
10 69 76 266 959 6 312 1 17 177 4 1 16 32 30 1 782 6927 3 1898 696 3 10 208 131,0
29 5 1 5801 3 8438 335 96 1077 4 3405 846 8 1602 5 34 5105 100 1539 1266 33 2 3840 5 2,1
320 110 943 8 4 178 619 1 107 4 896 141 233 22 1 6 442 368 9 19 35 82 4 320 294,1
1 2774 4 2602 1 4 954 1 2079 3 2833 9131 4 487 1 3 2 1529 5 1130 394 485 31 2 922,1
10 14 53 1997 6 65 11 20 15 170 5 2 9785 1925 20 1383 62 4 168 467 589 10 208 946 12,1
11 18 7 64 84 87 5 9 276 39 9 14 740 361 8 4 1237 40 4 3325 219 4 1256 6036 19,0
10 103 11 7 29 529 5 4 1 68 65 1851 1026 189 16 25 1865 547 508 176 3 39 8 32 8600,1
10 212 11 18 8 2 773 3 14 1560 1398 33 9 91 176 12 14 52 3871 5680 14 4 50 542 22,1
195 106 11 20 1114 127 1 390 1 16 732 1799 1 392 4 4240 236 15 4 328 5 148 136 15 998,1
2 291 274 102 24 32 4819 3 248 23 62 227 723 17 29 5 95 1 4949 3943 6 1 11 14 170,1
8142 1 89 5142 21 2 193 275 14 4 847 29 59 716 39 4 1308 1 401 1 3019 3 1 19 6441,1
11 445 3471 741 32 38 237 10 69 2 3034 5 380 1753 21 2736 38 2 2942 67 64 50 2 591 111,1
11 18 7 22 267 231 10 384 44 23 184 6 105 11 239 5 508 8302 6 363 94 11 442 7 4,0
11 7 248 156 915 43 4 4964 6134 6739 266 6 3683 46 383 1 3 6657 30 406 32 76 223 154 3,1
654 2 1 134 7 43 4 221 36 6740 2 1402 3460 259 5 1 15 4 98 5 1 16 25 5194 1614,0
11 18 14 390 1155 4 4665 906 3 536 5 97 66 41 309 70 147 291 4919 1 127 7402 6551 31 217,0
10 227 2 1 3313 10 227 121 1 137 2528 203 777 612 439 33 1 3870 37 1 599 1 172 1086 3,1
11 18 992 4090 21 165 687 10 26 34 306 617 182 297 555 8 11 18 3 1363 95 80 4 888 3702,0
417 535 131 154 10 371 6561 11 18 7 916 1 13 6055 1950 7 85 8 42 228 5 2672 1 15 7,1
447 21 4 4382 6128 1 663 31 2 8005 2110 1504 112 51 71 769 6 1021 3 198 121 1145 4 364 4,0
10 26 106 11 20 31 225 217 3 10 222 126 2243 33 9 2 111 7 402 3 2 869 200 903 3,1
11 119 160 390 56 288 165 1355 108 2060 139 6 34 4097 6 82 47 1 3 165 1355 197 1904 35 820,0
11 18 14 38 84 9 14 158 17 4834 48 10 199 10 14 155 147 4 1854 5 4 84 18 4 981,0
